x,y_pred
50.0,0.26303264
50.1,0.35853925
50.2,0.36063573
50.3,0.36067942
50.4,0.36062506
50.5,0.360572
50.6,0.36051908
50.7,0.36046654
50.8,0.36041427
50.9,0.36036238
51.0,0.36031082
51.1,0.36025953
51.2,0.3602087
51.3,0.36015815
51.4,0.36010787
51.5,0.3600579
51.6,0.36000824
51.7,0.35995892
51.8,0.35990992
51.9,0.3598612
52.0,0.35981283
52.1,0.3597647
52.2,0.35971698
52.3,0.3596695
52.4,0.3596223
52.5,0.35957545
52.6,0.35952878
52.7,0.35948253
52.8,0.3594365
52.9,0.35939083
53.0,0.35934535
53.1,0.35930023
53.2,0.3592554
53.3,0.35921082
53.4,0.35916653
53.5,0.35912248
53.6,0.3590788
53.7,0.3590353
53.8,0.35899207
53.9,0.35894915
54.0,0.35890645
54.1,0.3588641
54.2,0.3588219
54.3,0.35877997
54.4,0.35873842
54.5,0.35869715
54.6,0.35865596
54.7,0.35861507
54.8,0.35857454
54.9,0.35853422
55.0,0.3584941
55.1,0.3584543
55.2,0.35841468
55.3,0.3583753
55.4,0.35833618
55.5,0.3582973
55.6,0.3582587
55.7,0.35822025
55.8,0.35818213
55.9,0.35814422
56.0,0.35810655
56.1,0.35806903
56.2,0.3580318
56.3,0.3579948
56.4,0.35795805
56.5,0.35792142
56.6,0.35788512
56.7,0.35784903
56.8,0.3578131
56.9,0.35777745
57.0,0.35774195
57.1,0.35770676
57.2,0.35767174
57.3,0.3576369
57.4,0.3576023
57.5,0.3575679
57.6,0.35753366
57.7,0.35749972
57.8,0.35746595
57.9,0.3574324
58.0,0.357399
58.1,0.3573658
58.2,0.3573328
58.3,0.35730007
58.4,0.3572675
58.5,0.35723507
58.6,0.35720292
58.7,0.3571709
58.8,0.35713905
58.9,0.3571074
59.0,0.357076
59.1,0.3570448
59.2,0.35701367
59.3,0.35698277
59.4,0.35695213
59.5,0.3569216
59.6,0.35689127
59.7,0.3568611
59.8,0.35683113
59.9,0.35680133
60.0,0.35677177
60.1,0.35674226
60.2,0.35671297
60.3,0.3566839
60.4,0.35665497
60.5,0.3566262
60.6,0.3565976
60.7,0.3565691
60.8,0.35654092
60.9,0.35651278
61.0,0.35648483
61.1,0.35645708
61.2,0.3564294
61.3,0.35640198
61.4,0.3563747
61.5,0.35634762
61.6,0.35632056
61.7,0.3562938
61.8,0.3562671
61.9,0.35624063
62.0,0.35621423
62.1,0.356188
62.2,0.35616195
62.3,0.356136
62.4,0.35611022
62.5,0.35608464
62.6,0.3560592
62.7,0.3560338
62.8,0.35600862
62.9,0.35598361
63.0,0.35595873
63.1,0.3559339
63.2,0.35590935
63.3,0.35588488
63.4,0.35586053
63.5,0.3558363
63.6,0.35581225
63.7,0.35578835
63.8,0.3557645
63.9,0.35574085
64.0,0.35571727
64.1,0.35569394
64.2,0.35567072
64.3,0.3556476
64.4,0.35562453
64.5,0.35560167
64.6,0.35557896
64.7,0.35555628
64.8,0.35553378
64.9,0.3555114
65.0,0.35548913
65.1,0.35546708
65.2,0.35544503
65.3,0.35542312
65.4,0.35540134
65.5,0.3553797
65.6,0.35535818
65.7,0.3553368
65.8,0.35531545
65.9,0.35529432
66.0,0.35527322
66.1,0.35525233
66.2,0.3552315
66.3,0.35521072
66.4,0.35519013
66.5,0.3551697
66.6,0.35514927
66.7,0.35512903
66.8,0.35510886
66.9,0.35508883
67.0,0.35506886
67.1,0.355049
67.2,0.35502928
67.3,0.35500962
67.4,0.35499012
67.5,0.35497072
67.6,0.3549514
67.7,0.35493213
67.8,0.35491303
67.9,0.35489407
68.0,0.35487518
68.1,0.35485637
68.2,0.35483763
68.3,0.35481903
68.4,0.35480052
68.5,0.3547821
68.6,0.35476384
68.7,0.35474563
68.8,0.35472748
68.9,0.35470945
69.0,0.3546915
69.1,0.35467362
69.2,0.35465592
69.3,0.35463828
69.4,0.35462067
69.5,0.35460326
69.6,0.35458586
69.7,0.3545686
69.8,0.35455137
69.9,0.35453424
70.0,0.35451722
70.1,0.35450035
70.2,0.35448346
70.3,0.35446668
70.4,0.35445
70.5,0.35443348
70.6,0.3544169
70.7,0.35440046
70.8,0.35438415
70.9,0.3543679
71.0,0.35435167
71.1,0.3543356
71.2,0.3543196
71.3,0.35430372
71.4,0.35428783
71.5,0.35427207
71.6,0.3542564
71.7,0.35424075
71.8,0.35422522
71.9,0.3542098
72.0,0.35419437
72.1,0.35417908
72.2,0.35416383
72.3,0.35414872
72.4,0.3541336
72.5,0.35411862
72.6,0.35410365
72.7,0.35408884
72.8,0.3540741
72.9,0.35405934
73.0,0.35404474
73.1,0.35403013
73.2,0.35401565
73.3,0.3540012
73.4,0.35398686
73.5,0.35397255
73.6,0.35395843
73.7,0.35394424
73.8,0.3539302
73.9,0.35391623
74.0,0.35390222
74.1,0.35388836
74.2,0.35387456
74.3,0.3538608
74.4,0.35384715
74.5,0.35383356
74.6,0.35382
74.7,0.35380653
74.8,0.35379308
74.9,0.35377976
