currency,model,horizon,step,y_pred
RUB,TorchNN,0.5,256,0.47698468
RUB,TorchNN,0.5,257,0.47730774
RUB,TorchNN,0.5,258,0.47763056
RUB,TorchNN,0.5,259,0.47795314
RUB,TorchNN,0.5,260,0.47827822
RUB,TorchNN,0.5,261,0.47860128
RUB,TorchNN,0.5,262,0.4789229
RUB,TorchNN,0.5,263,0.47924715
RUB,TorchNN,0.5,264,0.47957045
RUB,TorchNN,0.5,265,0.47989398
RUB,TorchNN,0.5,266,0.48021537
RUB,TorchNN,0.5,267,0.4805382
RUB,TorchNN,0.5,268,0.48086387
RUB,TorchNN,0.5,269,0.48118693
RUB,TorchNN,0.5,270,0.4815126
RUB,TorchNN,0.5,271,0.481834
RUB,TorchNN,0.5,272,0.48215657
RUB,TorchNN,0.5,273,0.4824813
RUB,TorchNN,0.5,274,0.48280078
RUB,TorchNN,0.5,275,0.48312646
RUB,TorchNN,0.5,276,0.48344833
RUB,TorchNN,0.5,277,0.4837721
RUB,TorchNN,0.5,278,0.48409778
RUB,TorchNN,0.5,279,0.4844194
RUB,TorchNN,0.5,280,0.48474222
RUB,TorchNN,0.5,281,0.48506624
RUB,TorchNN,0.5,282,0.4853862
RUB,TorchNN,0.5,283,0.4857114
RUB,TorchNN,0.5,284,0.48603588
RUB,TorchNN,0.5,285,0.4863556
RUB,TorchNN,0.5,286,0.48668152
RUB,TorchNN,0.5,287,0.4870053
RUB,TorchNN,0.5,288,0.48732954
RUB,TorchNN,0.5,289,0.48765188
RUB,TorchNN,0.5,290,0.487974
RUB,TorchNN,0.5,291,0.48829705
RUB,TorchNN,0.5,292,0.48861963
RUB,TorchNN,0.5,293,0.4889415
RUB,TorchNN,0.5,294,0.48926455
RUB,TorchNN,0.5,295,0.48958594
RUB,TorchNN,0.5,296,0.4899152
RUB,TorchNN,0.5,297,0.4902354
RUB,TorchNN,0.5,298,0.49055773
RUB,TorchNN,0.5,299,0.4908815
RUB,TorchNN,0.5,300,0.49120456
RUB,TorchNN,0.5,301,0.49152857
RUB,TorchNN,0.5,302,0.49185044
RUB,TorchNN,0.5,303,0.4921735
RUB,TorchNN,0.5,304,0.49249798
RUB,TorchNN,0.5,305,0.49282247
RUB,TorchNN,0.5,306,0.4931429
RUB,TorchNN,0.5,307,0.4934662
RUB,TorchNN,0.5,308,0.4937933
RUB,TorchNN,0.5,309,0.49411398
RUB,TorchNN,0.5,310,0.49443728
RUB,TorchNN,0.5,311,0.4947601
RUB,TorchNN,0.5,312,0.49508268
RUB,TorchNN,0.5,313,0.49540907
RUB,TorchNN,0.5,314,0.49573094
RUB,TorchNN,0.5,315,0.49605423
RUB,TorchNN,0.5,316,0.4963773
RUB,TorchNN,0.5,317,0.4967001
RUB,TorchNN,0.5,318,0.49702507
RUB,TorchNN,0.5,319,0.4973455
RUB,TorchNN,0.5,320,0.49767
RUB,TorchNN,0.5,321,0.49799186
RUB,TorchNN,0.5,322,0.49831587
RUB,TorchNN,0.5,323,0.49863845
RUB,TorchNN,0.5,324,0.49896318
RUB,TorchNN,0.5,325,0.49928457
RUB,TorchNN,0.5,326,0.49960953
RUB,TorchNN,0.5,327,0.4999345
RUB,TorchNN,0.5,328,0.50025517
RUB,TorchNN,0.5,329,0.50057703
RUB,TorchNN,0.5,330,0.5008996
RUB,TorchNN,0.5,331,0.50122553
RUB,TorchNN,0.5,332,0.5015505
RUB,TorchNN,0.5,333,0.50187165
RUB,TorchNN,0.5,334,0.5021978
RUB,TorchNN,0.5,335,0.50252086
RUB,TorchNN,0.5,336,0.5028406
RUB,TorchNN,0.5,337,0.50316316
RUB,TorchNN,0.5,338,0.5034874
RUB,TorchNN,0.5,339,0.50381213
RUB,TorchNN,0.5,340,0.5041345
RUB,TorchNN,0.5,341,0.5044609
RUB,TorchNN,0.5,342,0.5047813
RUB,TorchNN,0.5,343,0.50510055
RUB,TorchNN,0.5,344,0.5054286
RUB,TorchNN,0.5,345,0.5057507
RUB,TorchNN,0.5,346,0.50607353
RUB,TorchNN,0.5,347,0.50639516
RUB,TorchNN,0.5,348,0.5067261
RUB,TorchNN,0.5,349,0.5070415
RUB,TorchNN,0.5,350,0.5073653
RUB,TorchNN,0.5,351,0.507685
RUB,TorchNN,0.5,352,0.5080145
RUB,TorchNN,0.5,353,0.5083392
RUB,TorchNN,0.5,354,0.5086573
RUB,TorchNN,0.5,355,0.5089832
RUB,TorchNN,0.5,356,0.5093048
RUB,TorchNN,0.5,357,0.5096291
RUB,TorchNN,0.5,358,0.5099543
RUB,TorchNN,0.5,359,0.51027685
RUB,TorchNN,0.5,360,0.5105997
RUB,TorchNN,0.5,361,0.5109239
RUB,TorchNN,0.5,362,0.51124316
RUB,TorchNN,0.5,363,0.5115672
RUB,TorchNN,0.5,364,0.51188856
RUB,TorchNN,0.5,365,0.5122121
RUB,TorchNN,0.5,366,0.512538
RUB,TorchNN,0.5,367,0.5128632
RUB,TorchNN,0.5,368,0.5131839
RUB,TorchNN,0.5,369,0.5135091
RUB,TorchNN,0.5,370,0.51383024
RUB,TorchNN,0.5,371,0.5141538
RUB,TorchNN,0.5,372,0.51447874
RUB,TorchNN,0.5,373,0.5147992
RUB,TorchNN,0.5,374,0.5151251
RUB,TorchNN,0.5,375,0.515446
RUB,TorchNN,0.5,376,0.5157669
RUB,TorchNN,0.5,377,0.51609164
RUB,TorchNN,0.5,378,0.5164209
RUB,TorchNN,0.5,379,0.516738
RUB,TorchNN,0.5,380,0.51706177
RUB,TorchNN,0.5,381,0.5173858
RUB,TorchNN,0.5,382,0.5177105
RUB,TorchNN,0.5,383,0.5180343
