currency,model,horizon,step,y_pred
RUB,TorchNN,1.0,256,0.47419578
RUB,TorchNN,1.0,257,0.47448665
RUB,TorchNN,1.0,258,0.47477704
RUB,TorchNN,1.0,259,0.47506934
RUB,TorchNN,1.0,260,0.4753545
RUB,TorchNN,1.0,261,0.47564727
RUB,TorchNN,1.0,262,0.4759391
RUB,TorchNN,1.0,263,0.47622567
RUB,TorchNN,1.0,264,0.47651702
RUB,TorchNN,1.0,265,0.4768079
RUB,TorchNN,1.0,266,0.47709876
RUB,TorchNN,1.0,267,0.4773925
RUB,TorchNN,1.0,268,0.47767764
RUB,TorchNN,1.0,269,0.47796947
RUB,TorchNN,1.0,270,0.47825652
RUB,TorchNN,1.0,271,0.47854644
RUB,TorchNN,1.0,272,0.47884113
RUB,TorchNN,1.0,273,0.4791301
RUB,TorchNN,1.0,274,0.47942
RUB,TorchNN,1.0,275,0.47970802
RUB,TorchNN,1.0,276,0.4800027
RUB,TorchNN,1.0,277,0.48028404
RUB,TorchNN,1.0,278,0.48057967
RUB,TorchNN,1.0,279,0.48087245
RUB,TorchNN,1.0,280,0.48116523
RUB,TorchNN,1.0,281,0.48144847
RUB,TorchNN,1.0,282,0.48174316
RUB,TorchNN,1.0,283,0.48203307
RUB,TorchNN,1.0,284,0.4823268
RUB,TorchNN,1.0,285,0.482611
RUB,TorchNN,1.0,286,0.48290282
RUB,TorchNN,1.0,287,0.48319274
RUB,TorchNN,1.0,288,0.48347884
RUB,TorchNN,1.0,289,0.48377162
RUB,TorchNN,1.0,290,0.48406345
RUB,TorchNN,1.0,291,0.4843524
RUB,TorchNN,1.0,292,0.4846452
RUB,TorchNN,1.0,293,0.48493034
RUB,TorchNN,1.0,294,0.48522216
RUB,TorchNN,1.0,295,0.48551112
RUB,TorchNN,1.0,296,0.4858039
RUB,TorchNN,1.0,297,0.48609763
RUB,TorchNN,1.0,298,0.48637992
RUB,TorchNN,1.0,299,0.48667365
RUB,TorchNN,1.0,300,0.4869607
RUB,TorchNN,1.0,301,0.4872554
RUB,TorchNN,1.0,302,0.4875453
RUB,TorchNN,1.0,303,0.4878381
RUB,TorchNN,1.0,304,0.48812896
RUB,TorchNN,1.0,305,0.48841506
RUB,TorchNN,1.0,306,0.48870116
RUB,TorchNN,1.0,307,0.4889968
RUB,TorchNN,1.0,308,0.489281
RUB,TorchNN,1.0,309,0.48957473
RUB,TorchNN,1.0,310,0.48986083
RUB,TorchNN,1.0,311,0.49015266
RUB,TorchNN,1.0,312,0.4904464
RUB,TorchNN,1.0,313,0.4907325
RUB,TorchNN,1.0,314,0.49102432
RUB,TorchNN,1.0,315,0.49131614
RUB,TorchNN,1.0,316,0.49160892
RUB,TorchNN,1.0,317,0.4918998
RUB,TorchNN,1.0,318,0.49218875
RUB,TorchNN,1.0,319,0.4924739
RUB,TorchNN,1.0,320,0.49276382
RUB,TorchNN,1.0,321,0.49305278
RUB,TorchNN,1.0,322,0.4933465
RUB,TorchNN,1.0,323,0.49363643
RUB,TorchNN,1.0,324,0.4939311
RUB,TorchNN,1.0,325,0.4942134
RUB,TorchNN,1.0,326,0.49451476
RUB,TorchNN,1.0,327,0.49480277
RUB,TorchNN,1.0,328,0.495086
RUB,TorchNN,1.0,329,0.49537307
RUB,TorchNN,1.0,330,0.4956687
RUB,TorchNN,1.0,331,0.4959548
RUB,TorchNN,1.0,332,0.49624854
RUB,TorchNN,1.0,333,0.49653655
RUB,TorchNN,1.0,334,0.4968322
RUB,TorchNN,1.0,335,0.4971183
RUB,TorchNN,1.0,336,0.49741107
RUB,TorchNN,1.0,337,0.49770576
RUB,TorchNN,1.0,338,0.49799186
RUB,TorchNN,1.0,339,0.49827987
RUB,TorchNN,1.0,340,0.49856883
RUB,TorchNN,1.0,341,0.4988578
RUB,TorchNN,1.0,342,0.49915344
RUB,TorchNN,1.0,343,0.4994424
RUB,TorchNN,1.0,344,0.49972945
RUB,TorchNN,1.0,345,0.5000213
RUB,TorchNN,1.0,346,0.5003131
RUB,TorchNN,1.0,347,0.500603
RUB,TorchNN,1.0,348,0.5008891
RUB,TorchNN,1.0,349,0.50118095
RUB,TorchNN,1.0,350,0.50146896
RUB,TorchNN,1.0,351,0.5017608
RUB,TorchNN,1.0,352,0.5020583
RUB,TorchNN,1.0,353,0.5023425
RUB,TorchNN,1.0,354,0.50263244
RUB,TorchNN,1.0,355,0.5029281
RUB,TorchNN,1.0,356,0.503218
RUB,TorchNN,1.0,357,0.50350887
RUB,TorchNN,1.0,358,0.5038026
RUB,TorchNN,1.0,359,0.50408393
RUB,TorchNN,1.0,360,0.5043834
RUB,TorchNN,1.0,361,0.5046666
RUB,TorchNN,1.0,362,0.50494987
RUB,TorchNN,1.0,363,0.5052474
RUB,TorchNN,1.0,364,0.5055297
RUB,TorchNN,1.0,365,0.5058301
RUB,TorchNN,1.0,366,0.5061143
RUB,TorchNN,1.0,367,0.50641185
RUB,TorchNN,1.0,368,0.506697
RUB,TorchNN,1.0,369,0.5069869
RUB,TorchNN,1.0,370,0.50727683
RUB,TorchNN,1.0,371,0.5075677
RUB,TorchNN,1.0,372,0.5078624
RUB,TorchNN,1.0,373,0.5081504
RUB,TorchNN,1.0,374,0.50843555
RUB,TorchNN,1.0,375,0.50872356
RUB,TorchNN,1.0,376,0.5090173
RUB,TorchNN,1.0,377,0.5093158
RUB,TorchNN,1.0,378,0.50959235
RUB,TorchNN,1.0,379,0.50988704
RUB,TorchNN,1.0,380,0.510176
