currency,model,horizon,step,y_pred
EUR,TorchNN,0.5,256,50.744404
EUR,TorchNN,0.5,257,50.93679
EUR,TorchNN,0.5,258,51.129185
EUR,TorchNN,0.5,259,51.32157
EUR,TorchNN,0.5,260,51.513966
EUR,TorchNN,0.5,261,51.706356
EUR,TorchNN,0.5,262,51.89875
EUR,TorchNN,0.5,263,52.09114
EUR,TorchNN,0.5,264,52.28352
EUR,TorchNN,0.5,265,52.475918
EUR,TorchNN,0.5,266,52.6683
EUR,TorchNN,0.5,267,52.8607
EUR,TorchNN,0.5,268,53.05309
EUR,TorchNN,0.5,269,53.24548
EUR,TorchNN,0.5,270,53.437866
EUR,TorchNN,0.5,271,53.630257
EUR,TorchNN,0.5,272,53.82265
EUR,TorchNN,0.5,273,54.015038
EUR,TorchNN,0.5,274,54.20743
EUR,TorchNN,0.5,275,54.399822
EUR,TorchNN,0.5,276,54.592213
EUR,TorchNN,0.5,277,54.78461
EUR,TorchNN,0.5,278,54.97699
EUR,TorchNN,0.5,279,55.16939
EUR,TorchNN,0.5,280,55.361774
EUR,TorchNN,0.5,281,55.554165
EUR,TorchNN,0.5,282,55.74656
EUR,TorchNN,0.5,283,55.938946
EUR,TorchNN,0.5,284,56.13134
EUR,TorchNN,0.5,285,56.32373
EUR,TorchNN,0.5,286,56.516117
EUR,TorchNN,0.5,287,56.708504
EUR,TorchNN,0.5,288,56.9009
EUR,TorchNN,0.5,289,57.093296
EUR,TorchNN,0.5,290,57.285683
EUR,TorchNN,0.5,291,57.47807
EUR,TorchNN,0.5,292,57.67046
EUR,TorchNN,0.5,293,57.86285
EUR,TorchNN,0.5,294,58.05525
EUR,TorchNN,0.5,295,58.24764
EUR,TorchNN,0.5,296,58.44003
EUR,TorchNN,0.5,297,58.632412
EUR,TorchNN,0.5,298,58.824806
EUR,TorchNN,0.5,299,59.017193
EUR,TorchNN,0.5,300,59.209587
EUR,TorchNN,0.5,301,59.401978
EUR,TorchNN,0.5,302,59.59437
EUR,TorchNN,0.5,303,59.786762
EUR,TorchNN,0.5,304,59.979153
EUR,TorchNN,0.5,305,60.17154
EUR,TorchNN,0.5,306,60.363934
EUR,TorchNN,0.5,307,60.556324
EUR,TorchNN,0.5,308,60.748714
EUR,TorchNN,0.5,309,60.9411
EUR,TorchNN,0.5,310,61.13349
EUR,TorchNN,0.5,311,61.325893
EUR,TorchNN,0.5,312,61.518272
EUR,TorchNN,0.5,313,61.710667
EUR,TorchNN,0.5,314,61.903053
EUR,TorchNN,0.5,315,62.095455
EUR,TorchNN,0.5,316,62.287838
EUR,TorchNN,0.5,317,62.480225
EUR,TorchNN,0.5,318,62.67262
EUR,TorchNN,0.5,319,62.86501
EUR,TorchNN,0.5,320,63.0574
EUR,TorchNN,0.5,321,63.24979
EUR,TorchNN,0.5,322,63.44219
EUR,TorchNN,0.5,323,63.63457
EUR,TorchNN,0.5,324,63.82696
EUR,TorchNN,0.5,325,64.01935
EUR,TorchNN,0.5,326,64.211754
EUR,TorchNN,0.5,327,64.40414
EUR,TorchNN,0.5,328,64.596535
EUR,TorchNN,0.5,329,64.788925
EUR,TorchNN,0.5,330,64.98131
EUR,TorchNN,0.5,331,65.1737
EUR,TorchNN,0.5,332,65.36609
EUR,TorchNN,0.5,333,65.55849
EUR,TorchNN,0.5,334,65.75087
EUR,TorchNN,0.5,335,65.94327
EUR,TorchNN,0.5,336,66.13566
EUR,TorchNN,0.5,337,66.32804
EUR,TorchNN,0.5,338,66.52043
EUR,TorchNN,0.5,339,66.71282
EUR,TorchNN,0.5,340,66.90522
EUR,TorchNN,0.5,341,67.0976
EUR,TorchNN,0.5,342,67.29001
EUR,TorchNN,0.5,343,67.48238
EUR,TorchNN,0.5,344,67.67479
EUR,TorchNN,0.5,345,67.867165
EUR,TorchNN,0.5,346,68.05956
EUR,TorchNN,0.5,347,68.251945
EUR,TorchNN,0.5,348,68.44434
EUR,TorchNN,0.5,349,68.636734
EUR,TorchNN,0.5,350,68.829124
EUR,TorchNN,0.5,351,69.021515
EUR,TorchNN,0.5,352,69.21391
EUR,TorchNN,0.5,353,69.406296
EUR,TorchNN,0.5,354,69.59869
EUR,TorchNN,0.5,355,69.79107
EUR,TorchNN,0.5,356,69.98347
EUR,TorchNN,0.5,357,70.17586
EUR,TorchNN,0.5,358,70.36825
EUR,TorchNN,0.5,359,70.560646
EUR,TorchNN,0.5,360,70.75303
EUR,TorchNN,0.5,361,70.94543
EUR,TorchNN,0.5,362,71.13781
EUR,TorchNN,0.5,363,71.3302
EUR,TorchNN,0.5,364,71.52259
EUR,TorchNN,0.5,365,71.715
EUR,TorchNN,0.5,366,71.90737
EUR,TorchNN,0.5,367,72.09977
EUR,TorchNN,0.5,368,72.29215
EUR,TorchNN,0.5,369,72.48454
EUR,TorchNN,0.5,370,72.67693
EUR,TorchNN,0.5,371,72.86932
EUR,TorchNN,0.5,372,73.06172
EUR,TorchNN,0.5,373,73.2541
EUR,TorchNN,0.5,374,73.446495
EUR,TorchNN,0.5,375,73.63889
EUR,TorchNN,0.5,376,73.83129
EUR,TorchNN,0.5,377,74.023674
EUR,TorchNN,0.5,378,74.21606
EUR,TorchNN,0.5,379,74.40845
EUR,TorchNN,0.5,380,74.600845
EUR,TorchNN,0.5,381,74.79323
EUR,TorchNN,0.5,382,74.98563
EUR,TorchNN,0.5,383,75.17801
